"filename", "language", "JSON with Comments", "JavaScript", "TypeScript JSX", "TypeScript", "XML", "JSON", "comment", "blank", "total"
"d:\faculta\AN3Sem2\Licenta\proiectFinal\screens\AcceptRequsetScreen.tsx", "TypeScript JSX", 0, 0, 102, 0, 0, 0, 0, 4, 106
"d:\faculta\AN3Sem2\Licenta\proiectFinal\screens\AddEventSreen.tsx", "TypeScript JSX", 0, 0, 5, 0, 0, 0, 0, 2, 7
"d:\faculta\AN3Sem2\Licenta\proiectFinal\screens\AuthScreen.tsx", "TypeScript JSX", 0, 0, 230, 0, 0, 0, 0, 25, 255
"d:\faculta\AN3Sem2\Licenta\proiectFinal\screens\DetailScreen.tsx", "TypeScript JSX", 0, 0, 370, 0, 0, 0, 1, 15, 386
"d:\faculta\AN3Sem2\Licenta\proiectFinal\screens\EventScreen.tsx", "TypeScript JSX", 0, 0, 197, 0, 0, 0, 0, 8, 205
"d:\faculta\AN3Sem2\Licenta\proiectFinal\screens\ProfileScreen.tsx", "TypeScript JSX", 0, 0, 152, 0, 0, 0, 0, 13, 165
"d:\faculta\AN3Sem2\Licenta\proiectFinal\screens\ReclamatiiScreen.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 0, 2, 15
"d:\faculta\AN3Sem2\Licenta\proiectFinal\screens\UpcomingEvents.tsx", "TypeScript JSX", 0, 0, 5, 0, 0, 0, 0, 2, 7
"d:\faculta\AN3Sem2\Licenta\proiectFinal\stack\AppContext.tsx", "TypeScript JSX", 0, 0, 64, 0, 0, 0, 0, 6, 70
"d:\faculta\AN3Sem2\Licenta\proiectFinal\stack\Authenticated.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\faculta\AN3Sem2\Licenta\proiectFinal\stack\BtnTapsNavigation.tsx", "TypeScript JSX", 0, 0, 111, 0, 0, 0, 0, 4, 115
"d:\faculta\AN3Sem2\Licenta\proiectFinal\stack\Non-authenticated.tsx", "TypeScript JSX", 0, 0, 21, 0, 0, 0, 0, 3, 24
"d:\faculta\AN3Sem2\Licenta\proiectFinal\store\auth-context.tsx", "TypeScript JSX", 0, 0, 43, 0, 0, 0, 0, 11, 54
"d:\faculta\AN3Sem2\Licenta\proiectFinal\store\redux\rerenderScreen.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\faculta\AN3Sem2\Licenta\proiectFinal\store\redux\store.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 2, 6
"d:\faculta\AN3Sem2\Licenta\proiectFinal\tsconfig.json", "JSON with Comments", 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\faculta\AN3Sem2\Licenta\proiectFinal\util\Colors.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 2, 14
"d:\faculta\AN3Sem2\Licenta\proiectFinal\util\Line 3.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\faculta\AN3Sem2\Licenta\proiectFinal\util\constants.tsx", "TypeScript JSX", 0, 0, 196, 0, 0, 0, 1, 6, 203
"d:\faculta\AN3Sem2\Licenta\proiectFinal\util\database.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 2, 35
"d:\faculta\AN3Sem2\Licenta\proiectFinal\util\http.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 5
"d:\faculta\AN3Sem2\Licenta\proiectFinal\util\methods.ts", "TypeScript", 0, 0, 0, 93, 0, 0, 0, 11, 104
"d:\faculta\AN3Sem2\Licenta\proiectFinal\util\model\migrations.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 1, 1, 7
"d:\faculta\AN3Sem2\Licenta\proiectFinal\util\model\schema.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 1, 1, 8
"d:\faculta\AN3Sem2\Licenta\proiectFinal\util\permissions.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 1, 16
"Total", "-", 6, 9, 4308, 175, 3, 17336, 10, 309, 22156
